Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"A-Force, Vol. 1",1A,"Secret Wars ","Jim Cheung Regular Cover","Marvel Comics","May 20, 2015",Comic,"Jul 10, 2015","G. Willow Wilson | Marguerite Bennett | Jorge Molina"
"A-Force, Vol. 1",2A,"Secret Wars ","Jorge Molina Regular Cover","Marvel Comics","Jul 01, 2015",Comic,"Jul 23, 2015","G. Willow Wilson | Marguerite Bennett | Jorge Molina"
"A-Force, Vol. 1",3A,"Secret Wars ","Jorge Molina Regular Cover","Marvel Comics","Aug 12, 2015",Comic,"Aug 21, 2015","G. Willow Wilson | Marguerite Bennett | Jorge Molina"
"A-Force, Vol. 1",4A,"Secret Wars ","Jorge Molina Cover","Marvel Comics","Sep 09, 2015",Comic,"Nov 20, 2015","Marguerite Bennett | Willow Wilson | Jorge Molina"
"A-Force, Vol. 1",5A,"Secret Wars ","Jorge Molina Cover","Marvel Comics","Oct 14, 2015",Comic,"Dec 13, 2015","Marguerite Bennett | Willow Wilson | Jorge Molina"
"A-Force, Vol. 2",2A,,"Regular Jorge Molina Cover","Marvel Comics","Feb 03, 2016",Comic,"May 19, 2016","G. Willow Wilson | Kelly Thompson | Jorge Molina"
"A-Force, Vol. 2",3A,,"Regular Jorge Molina Cover","Marvel Comics","Mar 02, 2016",Comic,"May 19, 2016","G. Willow Wilson | Kelly Thompson | Jorge Molina"
"A-Force, Vol. 2",4,,,"Marvel Comics","Apr 13, 2016",Comic,"May 19, 2016","G. Willow Wilson | Kelly Thompson | Jorge Molina"
"A-Force, Vol. 2",5A,"Rage Against the Dying of the Light","Regular Ben Caldwell Cover","Marvel Comics","May 04, 2016",Comic,"May 30, 2016","Kelly Thompson | Ben Caldwell"
"A-Force, Vol. 2",6,"Rage Against the Dying of the Light",,"Marvel Comics","Jun 01, 2016",Comic,"Jun 03, 2016","Kelly Thompson | Ben Caldwell | Scott Hanna"
"A-Force, Vol. 2",8A,"Civil War II ",,"Marvel Comics","Aug 10, 2016",Comic,"Feb 25, 2017","Kelly Thompson | Paulo Siqueira"
"A-Force, Vol. 2",9A,,"Regular Paulo Siqueira Cover","Marvel Comics","Sep 14, 2016",Comic,"Feb 25, 2017","Kelly Thompson | Paulo Siqueira"
"A-Force, Vol. 2",10A,"Civil War II ","Regular Stephanie Hans Cover","Marvel Comics","Oct 19, 2016",Comic,"Feb 25, 2017","Kelly Thompson | Paulo Siqueira | Joe Bennett"
"Absolute Carnage",1B,,,"Marvel Comics","Aug 07, 2019",Comic,"Aug 15, 2019","Donny Cates | Ryan Stegman | JP Mayer"
"Absolute Carnage",2A,,"Regular Ryan Stegman Cover","Marvel Comics","Aug 28, 2019",Comic,"Sep 20, 2019","Donny Cates | Ryan Stegman | JP Mayer"
"Absolute Carnage",3A,,"Regular Ryan Stegman Cover","Marvel Comics","Sep 18, 2019",Comic,"Oct 17, 2019","Donny Cates | Ryan Stegman | JP Mayer"
"Absolute Carnage",4A,,"Regular Ryan Stegman Cover","Marvel Comics","Oct 16, 2019",Comic,"Feb 23, 2020","Donny Cates | Ryan Stegman | Jay Leisten"
"Absolute Carnage",5A,,"Regular Ryan Stegman Cover","Marvel Comics","Nov 20, 2019",Comic,"Feb 23, 2020","Donny Cates | Mark Bagley | Ryan Stegman"
"Absolute Carnage Vs Deadpool",1A,,"Regular Tyler Kirkham Cover","Marvel Comics","Aug 21, 2019",Comic,"Aug 24, 2019","Frank Tieri | Marcelo Ferreira"
"Absolute Carnage Vs Deadpool",2A,,"Regular Tyler Kirkham Cover","Marvel Comics","Sep 11, 2019",Comic,"Feb 13, 2020","Frank Tieri | Marcelo Ferreira | Andy Owens"
"Absolute Carnage Vs Deadpool",3A,,"Regular Tyler Kirkham Cover","Marvel Comics","Oct 16, 2019",Comic,"Feb 13, 2020","Frank Tieri | Jack Jadson | Marcelo Ferreira"
"Absolute Carnage: Avengers",1A,,"Regular Clayton Crain Cover","Marvel Comics","Oct 16, 2019",Comic,"Feb 23, 2020","Leah Williams | Zac Thompson | Alberto Jiménez Alburquerque"
"Absolute Carnage: Captain Marvel",1A,,"Regular David Nakayama Cover","Marvel Comics","Nov 20, 2019",Comic,"Nov 24, 2021","Emily Ryan Lerner | Andrea Broccardo | Le Beau Underwood"
"Absolute Carnage: Lethal Protectors",1A,,"Regular Bengal Cover","Marvel Comics","Aug 28, 2019",Comic,"Feb 13, 2020","Frank Tieri | Flaviano Armentaro"
"Absolute Carnage: Lethal Protectors",2A,,"Regular Iban Coello Cover","Marvel Comics","Sep 18, 2019",Comic,"Feb 13, 2020","Frank Tieri | Flaviano Armentaro"
"Absolute Carnage: Lethal Protectors",3A,,"Regular Iban Coello Cover","Marvel Comics","Oct 23, 2019",Comic,"Apr 13, 2020","Frank Tieri | Flaviano Armentaro"
"Absolute Carnage: Miles Morales",1A,,"Regular Clayton Crain Cover","Marvel Comics","Aug 28, 2019",Comic,"Oct 17, 2019","Saladin Ahmed | Federico Vincentini"
"Absolute Carnage: Miles Morales",2A,,"Regular Clayton Crain Cover","Marvel Comics","Sep 25, 2019",Comic,"Oct 17, 2019","Saladin Ahmed | Federico Vincentini"
"Absolute Carnage: Miles Morales",3A,,"Regular Clayton Crain Cover","Marvel Comics","Oct 09, 2019",Comic,"Oct 17, 2019","Saladin Ahmed | Federico Vincentini"
"Absolute Carnage: Scream",1A,,"Regular Gerardo Sandoval Cover","Marvel Comics","Aug 14, 2019",Comic,"Nov 22, 2019","Cullen Bunn | Gerardo Sandoval"
"Absolute Carnage: Scream",2A,,"Regular Gerardo Sandoval Cover","Marvel Comics","Sep 04, 2019",Comic,"Feb 13, 2020","Cullen Bunn | Gerardo Sandoval"
"Absolute Carnage: Scream",3A,,"Regular Gerardo Sandoval Cover","Marvel Comics","Oct 16, 2019",Comic,"Feb 13, 2020","Cullen Bunn | Gerardo Sandoval"
"Absolute Carnage: Separation Anxiety",1A,,"Philip Tan Standard Cover","Marvel Comics","Aug 14, 2019",Comic,"Nov 22, 2019","Clay McLeod Chapman | Brian Level"
"Absolute Carnage: Symbiote of Vengeance",1A,,"Regular Philip Tan Cover","Marvel Comics","Sep 11, 2019",Comic,"Feb 13, 2020","Ed Brisson | Juan Frigeri"
"Absolute Carnage: Symbiote Spider-Man",1A,,"Regular Greg Land Cover","Marvel Comics","Sep 04, 2019",Comic,"Jan 12, 2021","Peter David | Francesco Mobili"
"Absolute Carnage: The Immortal Hulk",1A,,"Regular Kyle Hotz Cover","Marvel Comics","Oct 02, 2019",Comic,"Oct 17, 2019","Al Ewing | Filipe Andrade"
"Absolute Carnage: Weapon Plus",1A,,"Regular Skan Cover","Marvel Comics","Nov 06, 2019",Comic,"Dec 14, 2020","Jed Mackay | Stefano Raffaele"
"Action Comics 2021 Annual",1A,,,"DC Comics","Jun 29, 2021",Comic,"Jul 16, 2021","Phillip Kennedy Johnson | Siya Oum | Scott Godlewski"
"Action Comics, Vol. 1",490B,"No Tomorrow For Superman!","Whitman Edition","DC Comics","Sep 28, 1978",Comic,"Feb 23, 2014","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte"
"Action Comics, Vol. 1",491B,"A Matter Of Light And Death!","Whitman Edition","DC Comics","Oct 26, 1979",Comic,"Feb 23, 2014","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte"
"Action Comics, Vol. 1",492B,"""Superman's Secret Afterlife!""","Whitman Edition","DC Comics","Nov 30, 1978",Comic,"Feb 23, 2014","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte"
"Action Comics, Vol. 1",661,"Stretching A Point!",,"DC Comics","Dec 04, 1990",Comic,"Feb 23, 2014","Roger Stern | Bob McLeod | Brett Breeding"
"Action Comics, Vol. 1",667,"The Final Chapter",,"DC Comics","Jul 1991",Comic,"Feb 23, 2014","Roger Stern | Jerry Ordway | Denis Rodier"
"Action Comics, Vol. 1",687B,"Reign of the Supermen - Born Again","Collector's Edition","DC Comics","Apr 27, 1993",Comic,"Feb 23, 2014","Roger Stern | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",693,"The Last Purge Of Krypton!",,"DC Comics","Nov 1993",Comic,"Feb 23, 2014","Frank Pittarese | Roger Stern | Karl Kesel"
"Action Comics, Vol. 1",700A,"Fall of Metropolis - Swan Song",,"DC Comics","Jun 1994",Comic,"Feb 23, 2014","Roger Stern | Jackson Guice | Douglas Curtis Swan"
"Action Comics, Vol. 1",701,"Fall Of Metropolis, Final Conflict",,"DC Comics","Jul 1994",Comic,"Feb 23, 2014","Louise Simonson | Karl Kesel | Jackson Guice"
"Action Comics, Vol. 1",702,"Bad Sport!",,"DC Comics","Aug 1994",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",703,"Zero Hour - Chronocide!",,"DC Comics","Sep 1994",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",704,"Dead Again, Eradication Day!",,"DC Comics","Nov 1994",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",705,"Dead Again, Bodies And Motion",,"DC Comics","Dec 1994",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",706,"Saved By The Belle!",,"DC Comics","Jan 1995",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",707,"Like Fire From The Dark",,"DC Comics","Feb 1995",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",708,"Moving Miracle",,"DC Comics","Mar 1995",Comic,"Feb 23, 2014","Chris Duffy | David Michelinie | Jackson Guice"
"Action Comics, Vol. 1",709,"Crime Tunnel! Or, When Warriors Strongly Disagee!",,"DC Comics","Apr 1995",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",710,"Death of Clark Kent, Men Of A Different Mettle",,"DC Comics","Jun 1995",Comic,"Feb 23, 2014","Chris Duffy | David Michelinie | Jackson Guice"
"Action Comics, Vol. 1",711,"Death of Clark Kent, Home And The Hollow Heart!",,"DC Comics","Jul 1995",Comic,"Feb 23, 2014","David Michelinie | Jackson Guice | Denis Rodier"
"Action Comics, Vol. 1",714,"Crossing The (Punch) Line!",,"DC Comics","Oct 1995",Comic,"Feb 23, 2014","David Michelinie | Kieron Dwyer | Denis Rodier"
"Action Comics, Vol. 1 Annual",6,"Elseworlds - Legacy",,"DC Comics","Jul 19, 1994",Comic,"Feb 23, 2014","John Byrne | Dennis Janke"
"Action Comics, Vol. 2",23.1A,"Cyborg Superman: Born In Flames","3D Cover","DC Comics","Sep 04, 2013",Comic,"Feb 23, 2014","Michael Alan Nelson | Mike Hawthorne"
"Action Comics, Vol. 2",23.2A,Zod,"3D Cover","DC Comics","Sep 11, 2013",Comic,"Feb 23, 2014","Gregory Pak | Ken Lashley"
"Action Comics, Vol. 2",23.3A,"Up Up And Away!","3D Cover","DC Comics","Sep 18, 2013",Comic,"Feb 23, 2014","Charles Soule | Raymund Bermudez | Dan Green"
"Action Comics, Vol. 2",23.4A,"Full Metal Jacket","3D Cover","DC Comics","Sep 18, 2013",Comic,"May 18, 2014","Sholly Fisch | Steve Pugh"
"Action Comics, Vol. 2",25A,"Zero Year - Stormbreaker",,"DC Comics","Nov 06, 2013",Comic,"Feb 23, 2014","Gregory Pak | Scott McDaniel | Aaron Kuder"
"Action Comics, Vol. 2",26A,Monster,,"DC Comics","Dec 04, 2013",Comic,"Sep 01, 2014","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",27A,Underworld,,"DC Comics","Jan 08, 2014",Comic,"Mar 22, 2014","Gregory Pak | Mike Hawthorne | R.B. Silva"
"Action Comics, Vol. 2",28A,"What Lies Beneath",,"DC Comics","Feb 05, 2014",Comic,"Mar 22, 2014","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",29A,"Deep Freeze",,"DC Comics","Mar 05, 2014",Comic,"Mar 22, 2014","Gregory Pak | Aaron Kuder | Jed Dougherty"
"Action Comics, Vol. 2",30A,Unbound,,"DC Comics","Apr 02, 2014",Comic,"Apr 10, 2014","Gregory Pak | Karl Kerschl | Aaron Kuder"
"Action Comics, Vol. 2",31A,"Superman Doomed - Infected",,"DC Comics","May 07, 2014",Comic,"May 16, 2014","Gregory Pak | Cameron Stewart | Aaron Kuder"
"Action Comics, Vol. 2",32A,"Superman Doomed - Enemy Of The State, Chapter 1: Nightmare",,"DC Comics","Jun 04, 2014",Comic,"Jul 20, 2014","Gregory Pak | Scott Kolins"
"Action Comics, Vol. 2",32B,"Superman Doomed - Enemy Of The State, Nightmare","Bombshell Variant Cover","DC Comics","Jun 04, 2014",Comic,"Jul 20, 2014","Gregory Pak | Scott Kolins"
"Action Comics, Vol. 2",33A,"Superman Doomed - Superdoom, Chapter One",,"DC Comics","Jul 02, 2014",Comic,"Jul 16, 2014","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",34A,"Superman Doomed - Last Sun",,"DC Comics","Aug 06, 2014",Comic,"Aug 16, 2014","Gregory Pak | Scott Kolins | Aaron Kuder"
"Action Comics, Vol. 2",35A,"Superman Doomed - Doomed: Aftermath",,"DC Comics","Oct 01, 2014",Comic,"Oct 07, 2014","Gregory Pak | Scott Kolins | Vicente Cifuentes"
"Action Comics, Vol. 2",35B,"Who Needs Superman Anyway?","Monsters of the Month Variant Cover","DC Comics","Oct 01, 2014",Comic,"Oct 07, 2014","Gregory Pak | Scott Kolins | Vicente Cifuentes"
"Action Comics, Vol. 2",36A,Horrorville,,"DC Comics","Nov 05, 2014",Comic,"Aug 08, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",37A,"Small Villians",,"DC Comics","Dec 03, 2014",Comic,"Aug 08, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",38A,"Home Is Where The Hell Is",,"DC Comics","Jan 07, 2015",Comic,"Aug 08, 2015","Gregory Pak | Jae Lee | Aaron Kuder"
"Action Comics, Vol. 2",39A,"Under The Skin",,"DC Comics","Feb 04, 2015",Comic,"Aug 08, 2015","Gregory Pak | Scott Kolins | Aaron Kuder"
"Action Comics, Vol. 2",40A,"Mirror Cracked",,"DC Comics","Mar 11, 2015",Comic,"Jul 11, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",41A,"Hard Truth, Part 1",,"DC Comics","Jun 03, 2015",Comic,"Jul 07, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",42A,"Hard Truth, Part 2","Regular Cover - Aaron Kuder","DC Comics","Jul 01, 2015",Comic,"Jul 07, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",43A,"Hard Truth","Aaron Kuder Regular Cover","DC Comics","Aug 12, 2015",Comic,"Aug 14, 2015","Gregory Pak | Aaron Kuder"
"Action Comics, Vol. 2",44A,"Hard Truth","Aaron Kuder Regular Cover","DC Comics","Sep 02, 2015",Comic,"Sep 12, 2015","Gregory Pak | Aaron Kuder | Howard Porter"
"Action Comics, Vol. 2",45A,"Blind Justice, Part One","Aaron Kuder Regular Cover","DC Comics","Oct 07, 2015",Comic,"Nov 20, 2015","Gregory Pak | Aaron Kuder | Scott Kolins"
"Action Comics, Vol. 2",46A,"Blind Justice, Part Two: Into the Shadows","Aaron Kuder Regular Cover","DC Comics","Nov 18, 2015",Comic,"Jun 09, 2016","Gregory Pak | Aaron Kuder | Scott Kolins"
"Action Comics, Vol. 2",47,"Blind Justice, Part Three: Consumed",,"DC Comics","Dec 02, 2015",Comic,"Jun 09, 2016","Gregory Pak | Aaron Kuder | Georges Jeanty"
"Action Comics, Vol. 2",48A,"Savage Dawn, Assault","Aaron Kuder Regular Cover","DC Comics","Jan 06, 2016",Comic,"Jan 24, 2016","Gregory Pak | Aaron Kuder | Rafa Sandoval"
"Action Comics, Vol. 2",49A,"Savage Dawn, Immortal Combat","Aaron Kuder Regular Cover","DC Comics","Feb 03, 2016",Comic,"Mar 19, 2016","Gregory Pak | Ardian Syaf | Scott Hanna"
"Action Comics, Vol. 2",50A,"Savage Dawn, Resurrection","Regular Aaron Kuder Cover","DC Comics","Mar 09, 2016",Comic,"Mar 19, 2016","Aaron Kuder | Greg Pak | Vicente Cifuentes"
"Action Comics, Vol. 2",51A,"The Final Days of Superman, Part 3: Dazed and Confused","Karl Kerschl Regular Cover","DC Comics","Apr 20, 2016",Comic,"Jun 03, 2016","Peter J. Tomasi | Paul Pelletier | Sandra Hope Archer"
"Action Comics, Vol. 2",52A,"Final Days of Superman, Final Days of Superman, Part 6","Regular John Romita Jr Cover","DC Comics","May 11, 2016",Comic,"Jun 03, 2016","Peter J. Tomasi | Dale Eaglesham | Scot Eaton"
"Action Comics, Vol. 2 Annual",3,"Superman Doomed - Superdoom",,"DC Comics","Jul 30, 2014",Comic,"Aug 16, 2014","Gregory Pak | Pascal Alixe | Will Conrad"
"Action Comics, Vol. 3",957B,"Path to Doom, Chapter 1",,"DC Comics","Jun 08, 2016",Comic,"Jun 09, 2016","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",960A,"Path of Doom, Part Four","Regular Clay Mann Cover","DC Comics","Jul 27, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Tyler Kirkham"
"Action Comics, Vol. 3",961A,"Path to Doom, Chapter 5","Regular Clay Mann Cover","DC Comics","Aug 10, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",962A,"Path of Doom, Conclusion","Regular Clay Mann Cover","DC Comics","Aug 24, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",963A,"Superman, Meet Clark Kent, Part 1","Regular Clay Mann Cover","DC Comics","Sep 14, 2016",Comic,"Feb 25, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",964A,"Superman, Meet Clark Kent, Part 2","Regular Clay Mann Cover","DC Comics","Sep 28, 2016",Comic,"Feb 25, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",965A,"Lois Lane, Back at the Planet, Part 1","Regular Clay Mann Cover","DC Comics","Oct 12, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",966A,"Lois Lane, Back at the Planet, Part 2","Regular Clay Mann Cover","DC Comics","Oct 26, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",967A,"Men of Steel, Part 1","Regular Clay Mann Cover","DC Comics","Nov 09, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Tyler Kirkham"
"Action Comics, Vol. 3",968A,"Men of Steel, Part 2","Regular Clay Mann Cover","DC Comics","Nov 23, 2016",Comic,"Jan 11, 2017","Dan Jurgens | Tyler Kirkham"
"Action Comics, Vol. 3",969A,"Men of Steel, Part 3","Regular Tyler Kirkham Cover","DC Comics","Dec 14, 2016",Comic,"Feb 25, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",970B,"Men of Steel, Part 4","Variant Gary Frank Cover","DC Comics","Dec 28, 2016",Comic,"Jun 09, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",971A,"Men of Steel, Part Five","Stephen Segovia Regular Cover","DC Comics","Jan 11, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",972A,"Men of Steel, Conclusion","Regular Art Thibert Cover","DC Comics","Jan 25, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Stephen Segovia | Art Thibert"
"Action Comics, Vol. 3",973A,"Mild Mannered, Part One","Regular Clay Mann Cover","DC Comics","Feb 08, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Patrick Zircher | Stephen Segovia"
"Action Comics, Vol. 3",974A,"Mild Mannered, Part Two","Regular Clay Mann Cover","DC Comics","Feb 22, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Patrick Zircher | Stephen Segovia"
"Action Comics, Vol. 3",975A,"Superman Reborn, Part 2 / The Man in the Purple Hat","Regular Patrick Gleason & Mick Gray Cover","DC Comics","Mar 08, 2017",Comic,"Jun 09, 2017","Paul Dini | Dan Jurgens | Ian Churchill"
"Action Comics, Vol. 3",976A,"Superman Reborn, Part 4","Regular Patrick Gleason & John Kalisz Cover","DC Comics","Mar 22, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Doug Mahnke | Christian Alamy"
"Action Comics, Vol. 3",977A,"The New World, Part 1","Regular Andy Kubert Cover","DC Comics","Apr 12, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Ian Churchill"
"Action Comics, Vol. 3",978A,"The New World, Part 2","Regular Andy Kubert Cover","DC Comics","Apr 26, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Carlo Barberi | Matt Santorelli"
"Action Comics, Vol. 3",979A,"Revenge, Part 1","Regular Clay Mann & Tomeu Morey Cover","DC Comics","May 10, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",980A,"Revenge, Part II","Regular Clay Mann Cover","DC Comics","May 24, 2017",Comic,"Jun 09, 2017","Dan Jurgens | Patch Zircher"
"Action Comics, Vol. 3",981A,"Revenge, Revenge Part III","Regular Patrick Zircher Cover","DC Comics","Jun 14, 2017",Comic,"Jul 02, 2017","Dan Jurgens | Jack Herbert"
